City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
313,Khuzhir,53.19,107.34,57.7,75,56,10.87,broken clouds,RU
314,Nhulunbuy,-12.23,136.77,71.6,83,0,6.93,clear sky,AU
315,General Pico,-35.66,-63.76,61.83,28,0,8.86,clear sky,AR
316,Killarney,52.05,-9.52,62.6,77,40,11.41,scattered clouds,IE
317,Mangan,27.52,88.53,74.43,58,60,1.01,light rain,IN
318,Carora,10.18,-70.08,88.45,49,37,4.0,scattered clouds,VE
319,Srednekolymsk,67.45,153.68,39.78,71,100,9.42,overcast clouds,RU
320,Mandalgovi,45.76,106.27,63.36,62,100,7.54,light rain,MN
321,Yulara,-25.24,130.99,50.0,43,0,6.93,clear sky,AU
322,Mporokoso,-9.37,30.12,77.29,25,82,6.4,broken clouds,ZM
323,Amahai,-3.33,128.92,77.47,86,59,2.98,light rain,ID
324,Schuttorf,52.32,7.23,84.99,51,67,1.99,broken clouds,DE
325,Linxia,35.6,103.21,66.49,76,98,2.48,light rain,CN
326,Pochutla,15.74,-96.47,80.6,74,90,3.85,overcast clouds,MX
327,Verkhoturye,58.86,60.81,55.06,95,100,5.95,overcast clouds,RU
328,Kruisfontein,-34.0,24.73,61.0,76,0,1.01,clear sky,ZA
329,Clarence Town,-32.58,151.78,57.0,54,0,24.16,clear sky,AU
330,Comana,44.17,26.14,90.0,40,1,3.53,clear sky,RO
331,Kirando,-7.42,30.6,80.02,50,32,2.59,scattered clouds,TZ
332,Sherbrooke,45.4,-71.9,62.6,93,90,5.82,overcast clouds,CA
333,Lazdijai,54.23,23.52,74.84,67,0,3.0,clear sky,LT
334,Tigzirt,36.89,4.12,85.89,62,1,7.11,clear sky,DZ
335,Half Moon Bay,37.46,-122.43,70.0,100,90,8.05,mist,US
336,Danane,7.26,-8.15,84.13,60,80,3.71,broken clouds,CI
337,Kozhva,65.11,57.05,58.78,76,99,9.98,overcast clouds,RU
338,Jimma,7.67,36.83,63.91,86,73,0.96,moderate rain,ET
339,Nantucket,41.28,-70.1,73.4,73,1,12.75,clear sky,US
340,Korla,41.76,86.15,82.0,53,8,1.99,clear sky,CN
341,Vostok,46.49,135.88,47.7,99,1,4.5,clear sky,RU
342,Shingu,33.73,135.98,76.57,85,1,3.58,clear sky,JP
343,Barcelos,41.54,-8.62,77.0,73,20,6.93,few clouds,PT
344,Lamu,-2.27,40.9,76.08,81,86,13.51,overcast clouds,KE
345,Bahia Blanca,-38.72,-62.27,61.36,32,0,10.27,clear sky,AR
346,Puri,19.8,85.85,82.4,83,75,12.75,thunderstorm,IN
347,Boa Vista,2.82,-60.67,93.2,49,75,9.17,broken clouds,BR
348,Biltine,14.53,20.92,90.46,45,51,4.21,broken clouds,TD
349,Lanzhou,36.06,103.79,73.99,54,78,1.01,broken clouds,CN
350,Khairagarh,26.95,77.82,84.2,89,40,6.93,scattered clouds,IN
351,Axim,4.87,-2.24,77.81,79,76,11.23,broken clouds,GH
352,Banda Aceh,5.56,95.32,81.07,76,100,5.1,moderate rain,ID
353,Alamosa,37.47,-105.87,71.6,35,1,3.15,clear sky,US
354,Norman Wells,65.28,-126.83,59.0,62,40,18.34,scattered clouds,CA
355,Lodja,-3.48,23.43,82.69,62,74,2.73,broken clouds,CD
356,Hai Duong,20.93,106.32,82.4,88,26,2.24,scattered clouds,VN
357,Khandagayty,50.73,92.05,56.62,71,26,2.15,light rain,RU
358,Sturgeon Bay,44.83,-87.38,78.8,54,1,10.29,clear sky,US
359,Seoul,37.57,126.98,78.8,78,90,2.26,overcast clouds,KR
360,Gigmoto,13.78,124.39,81.41,85,52,8.25,broken clouds,PH
361,Huarmey,-10.07,-78.15,66.33,65,84,7.99,broken clouds,PE
362,Scarborough,54.28,-0.4,66.0,77,88,5.99,overcast clouds,GB
363,Oak Ridge,36.01,-84.27,73.99,88,90,6.93,heavy intensity rain,US
364,Zabol,32.25,67.25,76.06,18,0,7.78,clear sky,AF
365,Ginir,7.13,40.7,63.55,79,74,8.3,broken clouds,ET
366,Okhotsk,59.38,143.3,48.04,76,53,2.55,broken clouds,RU
