City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Seoul,KR,2020-08-17 15:24:47,37.57,126.98,78.8,94,1,2.59
212,Ribeira Grande,PT,2020-08-17 15:24:47,38.52,-28.7,75.2,88,75,29.97
213,Avarua,CK,2020-08-17 15:24:48,-21.21,-159.78,69.8,73,33,4.7
214,La Asuncion,VE,2020-08-17 15:24:48,11.03,-63.86,68.0,100,100,5.82
215,Fortuna,US,2020-08-17 15:24:48,40.6,-124.16,59.0,95,100,4.52
216,Touros,BR,2020-08-17 15:24:48,-5.2,-35.46,86.0,45,40,13.87
217,Sulangan,PH,2020-08-17 15:24:49,11.14,123.72,83.95,73,100,1.88
218,San Rafael Petzal,GT,2020-08-17 15:24:49,15.4,-91.66,64.99,57,62,3.0
219,Ipixuna,BR,2020-08-17 15:24:49,-1.76,-48.8,91.4,49,40,6.93
220,Berlevag,NO,2020-08-17 15:24:49,70.86,29.09,48.2,76,75,28.86
221,Yar-Sale,RU,2020-08-17 15:24:50,66.83,70.83,50.86,87,97,6.69
222,Uniontown,US,2020-08-17 15:24:50,39.9,-79.72,75.99,49,89,3.0
223,Svetlyy,RU,2020-08-17 15:24:50,54.67,20.13,80.6,44,93,8.95
224,Sioux Lookout,CA,2020-08-17 15:24:50,50.1,-91.92,62.6,72,75,8.05
225,Rio Grande,BR,2020-08-17 15:21:41,-32.03,-52.1,66.2,32,0,9.17
226,Mirabad,AF,2020-08-17 15:24:51,30.44,61.84,95.09,15,0,16.58
227,Mackenzie,CA,2020-08-17 15:24:51,55.3,-123.17,51.8,93,75,3.36
228,Killybegs,IE,2020-08-17 15:24:51,54.63,-8.45,64.0,93,90,3.36
229,Laguna,US,2020-08-17 15:24:51,38.42,-121.42,82.99,61,1,3.36
230,Teguise,ES,2020-08-17 15:24:51,29.06,-13.56,84.2,54,0,25.28
231,Vostok,RU,2020-08-17 15:24:52,46.49,135.88,55.02,98,33,4.38
232,Ostersund,SE,2020-08-17 15:24:52,63.18,14.64,66.2,52,5,8.05
233,Hamilton,US,2020-08-17 15:22:35,39.18,-84.53,81.0,61,1,3.36
234,San Quintin,MX,2020-08-17 15:24:52,30.48,-115.95,73.35,75,0,1.54
235,Abu Samrah,SY,2020-08-17 15:24:53,35.3,37.18,90.99,23,0,19.48
236,Dunedin,NZ,2020-08-17 15:24:53,-45.87,170.5,44.01,84,40,3.0
237,Salumbar,IN,2020-08-17 15:24:53,24.13,74.05,81.18,87,56,7.78
238,Narsaq,GL,2020-08-17 15:24:54,60.92,-46.05,57.2,47,75,3.36
239,Port Hawkesbury,CA,2020-08-17 15:24:54,45.62,-61.35,62.6,88,90,6.93
240,Jishou,CN,2020-08-17 15:24:54,28.32,109.72,75.72,80,1,0.87
241,Kavieng,PG,2020-08-17 15:23:04,-2.57,150.8,81.19,78,5,5.57
242,Ponta Delgada,PT,2020-08-17 15:24:54,37.73,-25.67,75.2,83,75,23.04
243,Ossora,RU,2020-08-17 15:24:54,59.24,163.07,54.55,63,84,8.88
244,The Pas,CA,2020-08-17 15:24:55,53.83,-101.25,57.2,87,90,7.92
245,Port Blair,IN,2020-08-17 15:24:55,11.67,92.75,82.29,78,99,11.43
246,Ransang,PH,2020-08-17 15:24:55,8.96,117.58,78.93,85,100,4.5
247,Letnik,RU,2020-08-17 15:24:55,46.01,41.27,82.22,26,0,5.64
248,Piranhas,BR,2020-08-17 15:24:56,-16.43,-51.82,96.53,18,21,9.55
249,Vestmannaeyjar,IS,2020-08-17 15:24:56,63.44,-20.27,55.4,87,40,16.11
250,Mbanza-Ngungu,CD,2020-08-17 15:24:56,-5.25,14.87,86.88,44,28,9.42
